编号,类型,事件,详细
30000/30100/30111,公共卫生,国家卫健委：目前77000余名新冠肺炎病例治愈出院 治愈率超94%,21日下午，国务院联防联控机制召开新闻发布会，会上，国家卫健委新闻发言人米锋通报疫情情况时指出，截至4月20日24时，累计治愈出院病例77123例。国家卫健委医政医管局监察专员郭燕红表示，77000多名病例治愈，意味着治愈率达到94%以上。她说，当前我国疫情防控的形势总体向好，特别是患者的医疗救治工作也取得了显著成效，目前治愈出院患者越来越多。?
30000/30100/30111,公共卫生,国务院联防联控机制：大部分复阳病例无症状 仍有传染性需隔离观察,21日下午，国务院联防联控机制召开新闻发布会，发布会邀请到相关专家现场回答记者提问。北京大学第一医院感染科主任王贵强医生在回答关于复阳患者情况的提问时表示，一般情况下，复阳患者都没有明显的临床表现，目前来看大部分复阳病例都没有症状，只是核酸检测出现了阳性，极个别的会出现一些症状，但是病情恶化的病例是非常少的。他同时强调，复阳患者仍然具有传染性，所以要到定点医院进行隔离观察，还要进行密切接触者的医学观察。
30000/30100/30111,公共卫生,湖北无新增新冠肺炎确诊病例 新增无症状感染者20例,2020年4月20日0—24时，湖北省新增新冠肺炎确诊病例0例，无境外输入病例。湖北省新增病亡0例。湖北省新增出院3例，其中：武汉市3例。截至2020年4月20日24时，湖北省累计报告新冠肺炎确诊病例68128例，其中：武汉市50333例、孝感市3518例、黄冈市2907例、荆州市1580例、鄂州市1394例、随州市1307例、襄阳市1175例、黄石市1015例、宜昌市931例、荆门市928例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。湖北省累计治愈出院63514例，其中：武汉市46362例、孝感市3389例、黄冈市2782例、荆州市1528例、鄂州市1335例、随州市1262例、襄阳市1135例、黄石市976例、宜昌市894例、荆门市887例、咸宁市821例、十堰市664例、仙桃市553例、天门市481例、恩施州245例、潜江市189例、神农架林区11例。湖北省累计病亡4512例，其中：武汉市3869例、孝感市129例、黄冈市125例、鄂州市59例、荆州市52例、随州市45例、荆门市41例、襄阳市40例、黄石市39例、宜昌市37例、仙桃市22例、咸宁市15例、天门市15例、潜江市9例、十堰市8例、恩施州7例、神农架林区0例。目前仍在院治疗102例，其中：重症6例、危重症13例，均在定点医疗机构接受隔离治疗。现有疑似病例数为0，当日新增数为0，当日排除0人，集中隔离人数为0。累计追踪密切接触者281438人，尚在接受医学观察1962人。4月20日，湖北省新增无症状感染者20例，转确诊0例，解除隔离25例，尚在医学观察的无症状感染者544例。
30000/30100/30111,公共卫生,国家卫健委：20日新增确诊病例11例 其中7例为本土病例,4月20日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例11例，其中4例为境外输入病例，7例为本土病例（黑龙江6例，广东1例）；无新增死亡病例；新增疑似病例3例，其中2例为境外输入疑似病例，1例为本土疑似病例（黑龙江1例）。当日新增治愈出院病例39例，解除医学观察的密切接触者882人，重症病例增加1例。境外输入现有确诊病例811例（含重症病例44例），现有疑似病例32例。累计确诊病例1587例，累计治愈出院病例776例，无死亡病例。截至4月20日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例1003例（其中重症病例82例），累计治愈出院病例77123例，累计死亡病例4632例，累计报告确诊病例82758例，现有疑似病例37例。累计追踪到密切接触者726797人，尚在医学观察的密切接触者8791人。湖北无新增确诊病例，新增治愈出院病例3例（武汉3例），无新增死亡病例，现有确诊病例102例（武汉102例），其中重症病例19例（武汉19例）。累计治愈出院病例63514例（武汉46362例），累计死亡病例4512例（武汉3869例），累计确诊病例68128例（武汉50333例）。无新增疑似病例，无现有疑似病例。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者37例，其中境外输入无症状感染者2例；当日转为确诊病例3例（无境外输入）；当日解除医学观察32例（境外输入6例）；尚在医学观察无症状感染者992例（境外输入180例）。累计收到港澳台地区通报确诊病例1492例。其中，香港特别行政区1025例（出院630例，死亡4例），澳门特别行政区45例（出院22例），台湾地区422例（出院203例，死亡6例）。
30000/30100/30111,公共卫生,国务院联防联控机制：陆路边境疫情输入压力还在增大 需做到“一市一策”,新华社北京4月20日电（记者屈婷、熊丰）记者从20日召开的国务院联防联控机制新闻发布会上了解到，当前我国陆路边境的疫情输入压力还在增大，当务之急是真正做到“一市一策”，加强防控措施的针对性，补上薄弱环节。目前，黑龙江绥芬河口岸的疫情输入压力引发关注。国家卫生健康委员会疾控局副局长周宇辉说，当务之急是根据边境口岸地区的实际情况，制定、完善有针对性的防控方案，真正做到“一市一策”。据介绍，对边境入境人员比较多的地区以及防控基础比较薄弱的地区，在省内调配医疗资源的基础上，国家层面会选派疾控专家和医疗团队帮助进一步完善防控方案，并积极协调相关部门加大对检测试剂、医疗设备以及防护物资等的支持力度，真正构建关口前移、入境管控、社区排查以及门诊监测、医疗救治的全链条闭环管理。面对陆路边境疫情输入压力仍在增大的挑战，国家移民管理局边防检查管理司司长刘海涛表示，国家移民管理局将指导各地移民管理机构在当地党委政府的统一领导下，加强边境地区实有人口管理，做到境外返回的人员必见面、辖区居留的境外人员必见面，严防人员随意进出。同时，加强对进出边境地区人员和交通运输工具的检查、信息登记，会同有关部门实施防疫检测工作；加大流动查缉，堵塞要道两侧小的便道，防止不法人员绕关避卡，严查严堵不法人员进入内地。
30000/30100/30111,公共卫生, 国家卫健委：加强集中隔离人员的人文关怀 提供必要心理疏导,?新华社北京4月20日电（记者刘慧、熊丰）国家卫生健康委疾控局副局长周宇辉20日表示，目前集中医学观察点所在区县成立了心理疏导和社会服务领导小组，加强对隔离人员的人文关怀和温馨服务，根据需求提供必需的心理疏导。他是在当日举行的国务院联防联控机制新闻发布会上做出上述表示的。周宇辉介绍，在保障集中隔离人员正常生活的同时，合理调配医护人员全面落实隔离人员的健康监测，同时配备必要的急救设备、药品，并制定相应的处置预案。同时，严格加强隔离点卫生防疫要求，完善消毒管理，加强食品安全管理和医疗废弃物处理，有效降低疾病传播风险。周宇辉表示，目前非“四类”人员是由第一入境点所在省份实施入境后集中医学隔离观察14天，隔离期满后及时返回居住地，不需要再进行隔离医学观察。在隔离期间接受了实验室检测，且符合转为居家医学观察条件的人员，回到居住地后要按照规定接受居家隔离医学观察直至满14天后才能解除隔离。新华社北京4月20日电（记者刘慧、熊丰）国家卫生健康委疾控局副局长周宇辉20日表示，目前集中医学观察点所在区县成立了心理疏导和社会服务领导小组，加强对隔离人员的人文关怀和温馨服务，根据需求提供必需的心理疏导。他是在当日举行的国务院联防联控机制新闻发布会上做出上述表示的。周宇辉介绍，在保障集中隔离人员正常生活的同时，合理调配医护人员全面落实隔离人员的健康监测，同时配备必要的急救设备、药品，并制定相应的处置预案。同时，严格加强隔离点卫生防疫要求，完善消毒管理，加强食品安全管理和医疗废弃物处理，有效降低疾病传播风险。周宇辉表示，目前非“四类”人员是由第一入境点所在省份实施入境后集中医学隔离观察14天，隔离期满后及时返回居住地，不需要再进行隔离医学观察。在隔离期间接受了实验室检测，且符合转为居家医学观察条件的人员，回到居住地后要按照规定接受居家隔离医学观察直至满14天后才能解除隔离。
30000/30100/30111,公共卫生,湖北19日无新增新冠肺炎确诊病例 新增出院4例,2020年4月19日0—24时，湖北省新增新冠肺炎确诊病例0例，无境外输入病例。新增病亡0例。新增出院4例，其中：武汉市4例。截至2020年4月19日24时，湖北省累计报告新冠肺炎确诊病例68128例，其中：武汉市50333例、孝感市3518例、黄冈市2907例、荆州市1580例、鄂州市1394例、随州市1307例、襄阳市1175例、黄石市1015例、宜昌市931例、荆门市928例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。湖北省累计治愈出院63511例，其中：武汉市46359例、孝感市3389例、黄冈市2782例、荆州市1528例、鄂州市1335例、随州市1262例、襄阳市1135例、黄石市976例、宜昌市894例、荆门市887例、咸宁市821例、十堰市664例、仙桃市553例、天门市481例、恩施州245例、潜江市189例、神农架林区11例。湖北省累计病亡4512例，其中：武汉市3869例、孝感市129例、黄冈市125例、鄂州市59例、荆州市52例、随州市45例、荆门市41例、襄阳市40例、黄石市39例、宜昌市37例、仙桃市22例、咸宁市15例、天门市15例、潜江市9例、十堰市8例、恩施州7例、神农架林区0例。目前仍在院治疗105例，其中：重症6例、危重症14例，均在定点医疗机构接受隔离治疗。现有疑似病例数为0，当日新增数为0，当日排除0人，集中隔离人数为0。累计追踪密切接触者281229人，尚在接受医学观察1906人。湖北省新增无症状感染者24例，转确诊0例，解除隔离51例，尚在医学观察的无症状感染者549例。?
30000/30100/30111,公共卫生,国家卫健委：19日新增12例新冠肺炎确诊病例 8例为境外输入病例 4例为本土病例,4月19日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例12例，其中8例为境外输入病例，4例为本土病例（黑龙江3例，内蒙古1例）；无新增死亡病例；新增疑似病例2例，均为境外输入疑似病例（上海2例）当日新增治愈出院病例22例，解除医学观察的密切接触者904人，重症病例减少4例。境外输入现有确诊病例841例（含重症病例43例），现有疑似病例39例。累计确诊病例1583例，累计治愈出院病例742例，无死亡病例。截至4月19日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例1031例（其中重症病例81例），累计治愈出院病例77084例，累计死亡病例4632例，累计报告确诊病例82747例，现有疑似病例43例。累计追踪到密切接触者725814人，尚在医学观察的密切接触者8694人。湖北无新增确诊病例，新增治愈出院病例4例（武汉4例），无新增死亡病例，现有确诊病例105例（武汉105例），其中重症病例20例（武汉20例）。累计治愈出院病例63511例（武汉46359例），累计死亡病例4512例（武汉3869例），累计确诊病例68128例（武汉50333例）。无新增疑似病例，无现有疑似病例。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者49例，其中境外输入无症状感染者5例；当日无转为确诊病例；当日解除医学观察58例（境外输入7例）；尚在医学观察无症状感染者990例（境外输入184例）。累计收到港澳台地区通报确诊病例1490例。其中，香港特别行政区1025例（出院602例，死亡4例），澳门特别行政区45例（出院20例），台湾地区420例（出院189例，死亡6例）。
30000/30100/30111,公共卫生,湖北19日最新通报：无新增新冠肺炎确诊病例 无境外输入病例,2020年4月18日0—24时，湖北新增新冠肺炎确诊病例0例，无境外输入病例。湖北新增病亡0例。湖北新增出院13例，其中：武汉市13例。截至2020年4月18日24时，湖北累计报告新冠肺炎确诊病例68128例，其中：武汉市50333例、孝感市3518例、黄冈市2907例、荆州市1580例、鄂州市1394例、随州市1307例、襄阳市1175例、黄石市1015例、宜昌市931例、荆门市928例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。湖北累计治愈出院63507例，其中：武汉市46355例、孝感市3389例、黄冈市2782例、荆州市1528例、鄂州市1335例、随州市1262例、襄阳市1135例、黄石市976例、宜昌市894例、荆门市887例、咸宁市821例、十堰市664例、仙桃市553例、天门市481例、恩施州245例、潜江市189例、神农架林区11例。湖北累计病亡4512例，其中：武汉市3869例、孝感市129例、黄冈市125例、鄂州市59例、荆州市52例、随州市45例、荆门市41例、襄阳市40例、黄石市39例、宜昌市37例、仙桃市22例、咸宁市15例、天门市15例、潜江市9例、十堰市8例、恩施州7例、神农架林区0例。目前仍在院治疗109例，其中：重症6例、危重症16例，均在定点医疗机构接受隔离治疗。现有疑似病例数为0，当日新增数为0，当日排除0人，集中隔离人数为0。累计追踪密切接触者281141人，尚在接受医学观察1974人。4月18日，湖北新增无症状感染者22例，转确诊0例，解除隔离35例，尚在医学观察的无症状感染者576例。
30000/30100/30111,公共卫生,国家卫健委：18日新增16例新冠肺炎确诊病例 9例为境外输入 7例为本土病例,4月18日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例16例，其中9例为境外输入病例，7例为本土病例（黑龙江6例，广东1例）；无新增死亡病例；新增疑似病例2例，其中1例为境外输入疑似病例，1例为本土疑似病例（内蒙古1例）。当日新增治愈出院病例33例，解除医学观察的密切接触者1073人，重症病例无变化。境外输入现有确诊病例847例（含重症病例47例），现有疑似病例44例。累计确诊病例1575例，累计治愈出院病例728例，无死亡病例。截至4月18日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例1041例（其中重症病例85例），累计治愈出院病例77062例，累计死亡病例4632例，累计报告确诊病例82735例，现有疑似病例48例。累计追踪到密切接触者724850人，尚在医学观察的密切接触者8632人。湖北无新增确诊病例，新增治愈出院病例13例（武汉13例），无新增死亡病例，现有确诊病例109例（武汉109例），其中重症病例22例（武汉22例）。累计治愈出院病例63507例（武汉46355例），累计死亡病例4512例（武汉3869例），累计确诊病例68128例（武汉50333例）。无新增疑似病例，无现有疑似病例。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者44例，其中境外输入无症状感染者3例；当日无转为确诊病例；当日解除医学观察62例（境外输入8例）；尚在医学观察无症状感染者999例（境外输入186例）。累计收到港澳台地区通报确诊病例1466例。其中，香港特别行政区1023例（出院568例，死亡4例），澳门特别行政区45例（出院17例），台湾地区398例（出院178例，死亡6例）。
30000/30100/30111,公共卫生,湖北新增无症状感染者22例 尚在医学观察无症状感染者576例,新华社武汉4月19日电（记者喻珮 谭元斌）据湖北省卫健委19日通报，4月18日0—24时，全省新增新冠肺炎确诊病例0例，无境外输入病例。全省新增病亡0例。全省新增出院13例，其中：武汉市13例。新增无症状感染者22例。截至2020年4月18日24时，全省累计报告新冠肺炎确诊病例68128例，其中：武汉市50333例、孝感市3518例、黄冈市2907例、荆州市1580例、鄂州市1394例、随州市1307例、襄阳市1175例、黄石市1015例、宜昌市931例、荆门市928例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。全省累计治愈出院63507例，其中：武汉市46355例、孝感市3389例、黄冈市2782例、荆州市1528例、鄂州市1335例、随州市1262例、襄阳市1135例、黄石市976例、宜昌市894例、荆门市887例、咸宁市821例、十堰市664例、仙桃市553例、天门市481例、恩施州245例、潜江市189例、神农架林区11例。全省累计病亡4512例，其中：武汉市3869例、孝感市129例、黄冈市125例、鄂州市59例、荆州市52例、随州市45例、荆门市41例、襄阳市40例、黄石市39例、宜昌市37例、仙桃市22例、咸宁市15例、天门市15例、潜江市9例、十堰市8例、恩施州7例、神农架林区0例。目前仍在院治疗109例，其中：重症6例、危重症16例，均在定点医疗机构接受隔离治疗。现有疑似病例数为0，当日新增数为0，当日排除0人，集中隔离人数为0。累计追踪密切接触者281141人，尚在接受医学观察1974人。4月18日，全省新增无症状感染者22例，转确诊0例，解除隔离35例，尚在医学观察的无症状感染者576例。
30000/30100/30111,公共卫生,国家卫健委：17日新增确诊病例27例 其中17例为境外输入病例,4月17日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例27例，其中17例为境外输入病例，10例为本土病例（黑龙江7例，广东2例，四川1例）；无新增死亡病例；新增疑似病例5例，均为境外输入疑似病例（上海3例，黑龙江2例）。当日新增治愈出院病例50例，解除医学观察的密切接触者986人，重症病例减少4例。境外输入现有确诊病例857例（含重症病例47例），现有疑似病例58例。累计确诊病例1566例，累计治愈出院病例709例，无死亡病例。截至4月17日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例1058例（其中重症病例85例），累计治愈出院病例77029例，累计死亡病例4632例，累计报告确诊病例82719例，现有疑似病例63例。累计追踪到密切接触者723835人，尚在医学观察的密切接触者8893人。湖北无新增确诊病例，新增治愈出院病例7例（武汉7例），无新增死亡病例，现有确诊病例122例（武汉122例），其中重症病例27例（武汉27例）。累计治愈出院病例63494例（武汉46342例），累计死亡病例4512例（武汉3869例），累计确诊病例68128例（武汉50333例）。无新增疑似病例，无现有疑似病例。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者54例，其中境外输入无症状感染者3例；当日转为确诊病例9例（境外输入6例）；当日解除医学观察66例（境外输入12例）；尚在医学观察无症状感染者1017例（境外输入191例）。累计收到港澳台地区通报确诊病例1461例。其中，香港特别行政区1021例（出院532例，死亡4例），澳门特别行政区45例（出院17例），台湾地区395例（出院166例，死亡6例）。
30000/30100/30111,公共卫生,国家卫健委：截至16日24时 全国累计确诊病例订正为82692例,在17日下午国务院联防联控机制举行的新闻发布会上，国家卫健委新闻发言人米锋通报了最新的全国新冠肺炎疫情数据。他介绍，根据武汉市疫情防控指挥部17日发布的订正结果，截至4月16日24时，各省区市和新疆生产建设兵团现有确诊病例1081例，其中重症病例89例，累计治愈出院病例76979例，累计死亡病例4632例，累计报告确诊病例82692例，现有疑似病例62例。累计追踪到密切接触者722909人，尚在医学观察的密切接触者8970人。
30000/30100/30111,公共卫生,国家卫健委：一周来本土新增52例确诊病例 为近一个月最多,17日下午，国务院联防联控机制召开新闻发布会，介绍新冠肺炎疫情中医药防控工作进展和成效。会上，国家卫健委新闻发言人米锋通报了最新疫情情况。他介绍，4月16日，新增本土确诊病例大多与此前公布的聚集性疫情相关。一周来，全国报告新增本土确诊病例52例，为近一个月以来最多。他就此提示，要紧绷疫情防控常态化这根弦，不麻痹、不厌战、不松劲，坚决遏制疫情反弹、扩散。?
30000/30100/30111,公共卫生,湖北订正疫情数据：截至16日24时确诊病例核增325例 病亡数核增1290例,根据武汉市新冠肺炎疫情防控指挥部发布的《关于武汉市新冠肺炎确诊病例数、确诊病例死亡数订正情况的通报》，以及武汉市卫生健康委上报的疫情数据，依法订正湖北省截至2020年4月16日24时的疫情数据如下：2020年4月16日0—24时，湖北全省新增新冠肺炎确诊病例0例，无境外输入病例。全省新增病亡0例。全省新增出院17例，其中：武汉市17例。截至2020年4月16日24时，湖北全省累计报告新冠肺炎确诊病例68128例（武汉市核增325例），其中：武汉市50333例（核增325例）、孝感市3518例、黄冈市2907例、荆州市1580例、鄂州市1394例、随州市1307例、襄阳市1175例、黄石市1015例、宜昌市931例、荆门市928例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。湖北省累计治愈出院63487例（武汉市核减965例），其中：武汉市46335例（核减965例）、孝感市3389例、黄冈市2782例、荆州市1528例、鄂州市1335例、随州市1262例、襄阳市1135例、黄石市976例、宜昌市894例、荆门市887例、咸宁市821例、十堰市664例、仙桃市553例、天门市481例、恩施州245例、潜江市189例、神农架林区11例。全省累计病亡4512例（武汉市核增1290例），其中：武汉市3869例（核增1290例）、孝感市129例、黄冈市125例、鄂州市59例、荆州市52例、随州市45例、荆门市41例、襄阳市40例、黄石市39例、宜昌市37例、仙桃市22例、咸宁市15例、天门市15例、潜江市9例、十堰市8例、恩施州7例、神农架林区0例。目前仍在院治疗129例，其中：重症15例、危重症17例，均在定点医疗机构接受隔离治疗。现有疑似病例数为0，当日新增数为0，当日排除0人，集中隔离人数为0。累计追踪密切接触者280847人，尚在接受医学观察1994人。全省新增无症状感染者32例，转确诊0例，解除隔离42例，尚在医学观察的无症状感染者610例
30000/30100/30111,公共卫生,国家卫健委：80岁以上高龄患者救治成功率接近70%,）湖北省新冠肺炎疫情防控新闻中心16日召开记者见面会，国家卫生健康委医政医管局监察专员焦雅辉介绍老年新冠肺炎患者医治成效。焦雅辉表示，武汉现阶段新冠肺炎整体治愈率达94%，重症患者治愈率超过89%。高龄患者救治方面，80岁以上的高龄患者重症发生比例为普通人群的两倍，80岁以上高龄患者救治成功率接近70%。焦雅辉说，对有基础疾病的老人采取分级救治策略。目前，对于基础疾病较轻的患者，武汉市每个区指定一家二级医院进行监视救治；对于患有较为严重基础病的患者，武汉市有4家三甲医院进行救治；对于更严重的基础病老人，将收治在武汉协和医院、武汉同济医院等4家国家级和省级医院。“我们总结出‘5个结合’的新冠肺炎救治工作经验。”焦雅辉介绍，第一是基础医学和临床医学相结合。新冠肺炎诊疗方案第七版加入了病理研究内容，通过对因新冠肺炎逝世患者的尸体进行解剖，了解疾病发生机理，从而指导救治工作。第二是前方和后方相结合。采取整建制接管医院方式，一线医务工作人员通过互联网与原来所在医院进行合作，突破时空限制。第三是医疗与护理相结合。在此次疫情救治过程中发现，许多重症患者有多个脏器损伤，加强基础护理对整个治疗效果起到至关重要的作用。第四是医疗和管理相结合。多家医院成立了联合医务部、护理部、院感办，每天会有疑难病例会诊、死亡病例讨论、多学科诊疗等，严格落实各项制度，成立插管、护心、护肾、护肝等小分队。第五是中西医相结合。中医是中国疫情防控的优势，90%以上的重症患者使用了中西医结合的治疗方案。?
30000/30100/30111,公共卫生,武汉“解封”一周无一例无症状感染者转确诊,）记者16日晚间从武汉市新冠肺炎疫情防控指挥部获悉，武汉在4月8日解除离汉管控后的一周内，对大约22.6万人开展新冠肺炎核酸检测，发现无症状感染者130例，无一例无症状感染者转确诊。据悉，目前武汉市新冠肺炎核酸检测采样点达211个，日检测能力4万人次，可实现重点人群的应检尽检、愿检尽检，能够满足复工、离汉人员核酸检测需要。统计显示，4月8日至14日，全市进行核酸检测225999人，发现无症状感染者130例，检出率为0.0575%，无一例无症状感染者转确诊。追踪542名密切接触者，无一例转无症状感染者，无一例转确诊。武汉市委常委、常务副市长胡亚波说，自3月以来，武汉部分复工复产企业自发组织员工开展核酸检测，覆盖14.3万人次，共发现113例无症状感染者，检出率不到万分之八。胡亚波说，当前武汉疫情防控工作核心是防输入、防输出、防反弹。为此，全市二级以上的医院53个发热门诊进一步规范了诊疗筛查和疫检，同时在全市加强小区防控，以做到早发现、早隔离、早报告、早诊治。
30000/30100/30111,公共卫生,国家卫健委：16日新增确诊病例26例 其中15例为境外输入病例,4月16日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例26例，其中15例为境外输入病例，11例为本土病例（广东5例，黑龙江3例，山东2例，辽宁1例）；无新增死亡病例；新增疑似病例3例，均为本土疑似病例（黑龙江2例，内蒙古1例）。当日新增治愈出院病例52例，解除医学观察的密切接触者412人，重症病例减少6例。境外输入现有确诊病例879例（含重症病例45例），现有疑似病例57例。累计确诊病例1549例，累计治愈出院病例670例，无死亡病例。截至4月16日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例1081例（其中重症病例89例），累计治愈出院病例77944例，累计死亡病例3342例，累计报告确诊病例82367例，现有疑似病例62例。累计追踪到密切接触者722909人，尚在医学观察的密切接触者8970人。湖北无新增确诊病例，新增治愈出院病例17例（武汉17例），无新增死亡病例，现有确诊病例129例（武汉129例），其中重症病例32例（武汉32例）。累计治愈出院病例64452例（武汉47300例），累计死亡病例3222例（武汉2579例），累计确诊病例67803例（武汉50008例）。无新增疑似病例，无现有疑似病例。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者66例，其中境外输入无症状感染者3例；当日转为确诊病例10例（境外输入6例）；当日解除医学观察50例（境外输入8例）；尚在医学观察无症状感染者1038例（境外输入206例）。累计收到港澳台地区通报确诊病例1457例。其中，香港特别行政区1017例（出院485例，死亡4例），澳门特别行政区45例（出院16例），台湾地区395例（出院155例，死亡6例）。
30000/30100/30111,公共卫生,四部委：对外籍新冠肺炎患者实行先救治后收费,16日，就外籍新冠肺炎患者医疗费用支付有关问题，国家医疗保障局、外交部、财政部、国家卫生健康委员会日前联合下发通知，明确外籍新冠肺炎确诊和疑似患者未参加我国基本医保的，医疗机构应当先救治后收费，确保应收尽收；医疗费用由患者个人负担。在疫情期间，医保部门要求对于我国新冠肺炎确诊和疑似患者全部实行先救治、后结算。此次四部委下发的通知明确了对外籍新冠肺炎患者的医疗费用支付政策。通知要求，外籍新冠肺炎确诊和疑似患者参加商业健康保险的，由商业保险公司按合同及时支付。对于参加我国基本医保的外籍新冠肺炎确诊和疑似患者，基本医保、大病保险应按规定支付，其余费用由患者个人负担。通知还明确，参加我国基本医保的外籍人员，留院观察期间发生的医疗费用，基本医保按规定支付。未参加我国基本医保的，由个人负担。外籍人员集中隔离产生的费用，原则上由个人负担。通知要求，各地有关部门要在当地应对疫情工作领导小组（指挥部）的领导下，密切配合，实时掌握外籍新冠肺炎患者有关信息，妥善做好外籍新冠肺炎患者的救治和费用结算、监测等工作。遇有重大问题和情况，及时向国家医疗保障局、外交部、财政部和国家卫生健康委等部门报告。
30000/30100/30111,公共卫生,4月下半月全国大部空气质量以良至轻度污染为主,中新网4月16日电 生态环境部16日在官方微博公布4月下半月全国空气质量预报会商结果。结果显示，4月下半月，全国大部扩散条件总体一般，空气质量以良至轻度污染为主。2020年4月15日，中国环境监测总站联合中央气象台、全国六大区域空气质量预测预报中心和北京市环境保护监测中心，开展4月下半月(4月16日～30日)全国空气质量预报会商。4月下半月，全国大部扩散条件总体一般，空气质量以良至轻度污染为主。期间，16-17日和20-25日华北区域、16日和19-22日汾渭平原、19-21日西北区域部分时段受沙尘天气过程影响，空气质量可能在预报等级基础上加重1～2级。此外，东北区域可能存在秸秆焚烧，空气质量在预报等级基础上加重1～2级。京津冀及周边区域：4月下半月，区域大部空气质量以优良为主，首要污染物为PM2.5。其中，16-17日，区域中北部可能受沙尘影响，空气质量较预报变差1～2级；18-19日，中南部可能出现轻度污染；25-30日，区域局地可能出现轻度污染。北京市：4月下半月，空气质量以优良为主，首要污染物为PM2.5或臭氧。其中，26-27日，可能出现一次轻度污染过程。长三角区域：4月下半月，区域大部空气质量以良至轻度污染为主，首要污染物为PM2.5或臭氧。其中，21-26日，南部空气质量优良。汾渭平原：4月下半月，区域大部空气质量以良为主，首要污染物为PM10或臭氧。其中，16日以及19-22日受沙尘天气影响，可能出现短时PM10轻度污染；23-26日，山西西南部分地区可能出现轻度污染；30日，区域可能出现以臭氧为主的轻度污染过程。东北区域：4月下半月，区域大部空气质量以良至轻度污染为主，首要污染物为PM2.5或PM10。其中，16-17日，黑龙江西南部以轻度至中度污染为主，吉林中部为中度至重度污染；23-26日，辽宁中西部、吉林中部可能达到中度污染。华南区域：4月下半月，区域大部空气质量以优良为主，首要污染物为PM2.5或臭氧。其中，16-17日，福建、广东和广西局地可能出现短时轻度污染；25-30日，湖北、广东和广西局地可能出现短时轻度及以上污染。西南区域：4月下半月，区域大部空气质量以优良为主，首要污染物为PM2.5或臭氧。其中，16日以及24-26日，成渝城市群部分城市空气质量为良至轻度污染。西北区域：4月下半月，区域大部空气质量以良为主，首要污染物为PM10或臭氧。其中，16日，受沙尘天气影响，甘肃河西、新疆东部和青海西北部可能出现中度及以上污染；19-21日，甘肃、宁夏可能出现轻度及以上污染；受沙尘天气影响，新疆南疆局地可能出现持续中度或以上污染。
30000/30100/30111,公共卫生,国家卫健委：15日新增新冠肺炎确诊病例46例 其中34例为境外输入病例,4月15日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例46例，其中34例为境外输入病例，12例为本土病例（广东5例，黑龙江4例，北京3例）；无新增死亡病例；新增疑似病例4例，其中3例为境外输入疑似病例（上海3例），1例为本土疑似病例（北京1例）。当日新增治愈出院病例76例，解除医学观察的密切接触者521人，重症病例减少18例。境外输入现有确诊病例898例（含重症病例46例），现有疑似病例61例。累计确诊病例1534例，累计治愈出院病例636例，无死亡病例。截至4月15日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例1107例（其中重症病例95例），累计治愈出院病例77892例，累计死亡病例3342例，累计报告确诊病例82341例，现有疑似病例63例。累计追踪到密切接触者722007人，尚在医学观察的密切接触者8484人。湖北无新增确诊病例，新增治愈出院病例33例（武汉33例），无新增死亡病例，现有确诊病例146例（武汉146例），其中重症病例38例（武汉38例）。累计治愈出院病例64435例（武汉47283例），累计死亡病例3222例（武汉2579例），累计确诊病例67803例（武汉50008例）。无新增疑似病例，无现有疑似病例。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者64例，其中境外输入无症状感染者3例；当日转为确诊病例6例（境外输入2例）；当日解除医学观察49例（境外输入12例）；尚在医学观察无症状感染者1032例（境外输入217例）。累计收到港澳台地区通报确诊病例1456例。其中，香港特别行政区1016例（出院459例，死亡4例），澳门特别行政区45例（出院16例），台湾地区395例（出院137例，死亡6例）。
